Player Name
Elvis Andrus
Lorenzo Cain
Kole Calhoun
Corey Dickerson
Wilmer Flores
Todd Frazier
Adrian Gonzalez
Russel Martin
Victor Martinez
Ben Revere
Jean Segura
Justin Upton
Chris Archer
Archie Bradley
Wei-Yin Chen
Steve Cishek
Greg Holland
Corey Kluber
Wade Miley
Rafael Montero
Edward Mujica
Rick Porcello
David Robertson
Ervin Santana
Max Scherzer
Masahiro Tanaka
